,name,content,date,like,place,tags,link,follower,follow
43,카페하이웨스트,"#푸드밍_연남동 사진 100장 찍는 카페❤.◾카페하이웨스트.🍽 라즈베리라떼 7,500원🍽 얼그레이티 7,000원🍽 카라멜스콘 4,500원ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ🔴우선 피드사진 전부다 필수로 보세요!!!넘예뻐요🔴연남동 아우프글렛을 갔는데 웨이팅이 장난아닌거에요ㅠㅠ 근데 생각해보니 바로 옆에 하이웨스트있는게 기억나서 바로 꼬우👍얼마전에 익선동 하이웨스트 올렸는데 다 같은 사장님이라서 하이웨스트 디저트들도 존맛탱이에요‼️옛날 하이웨스트 초창기에 왔을땐 여기도 어마어마한 웨이팅으로 장난아니였는데 저날은 이상하게 사람이 별로 없어서 더 행복했어요...❤👉 카라멜스콘버터향 가득나는 스콘인데 스콘 자체로도 너무 고소하고 적당한 간도 되어 있어서 맛있지만  카라멜소스와 만나서 심심할법한 맛을 한층 업그레이드 해주는 맛이에요🧡 스콘 종류별로 여긴 다 존맛탱이니까 어느걸 선택 하셔두 후회없어요!👉 라즈베리라떼저녁에 카페에 가서 커피 대신 시그니쳐 음료라는 라즈베리라떼를 주문 했어요✌ 우유에다가 엄청 상큼한 라즈베리 청 그리고 완전 쫀쫀한 생크림까지 달달 쌍큼 하게 먹을수 있는 메뉴 였어요🍓👉 얼그레이티 역시나 밤에는 커피 대신 다른 음료들이 강세에욬ㅋㅋ 귀여운 주전자에 담겨 나오는데 사진을 안찍을수가 없었어요😍하이웨스트나 레이어드는 엄청난 디저트 맛집으로 정말 강추하는 곳이에요‼️ 저 별로 케이크 안좋아하는데 이 두군데 케이크는 넘 맛있어서 꼭먹게 되는곳이라 또 강추강추입니다💯💯ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ✔ 서울 마포구 성미산로 167-9✔ 매일 12:00 - 21:30..#푸드밍#푸드밍_카페",2020-11-17,310,,"['#푸드밍_연남동', '#푸드밍', '#푸드밍_카페']",https://www.instagram.com/food_ming_/,2436,1339
44,카페하이웨스트,"반영구인&요리사 기술직 커플의주 하루 휴일 아깝지 않도록매주 아주 알차게 보내고 있어요💕익선동에 맛집이랑 이뿐 카페는 몇 번을 다녀도 넘치죠,,?🌞💡담쥬엔 연희동을 부시고 올고에요!!!",2020-11-16,222,익선동,[],https://www.instagram.com/nanal.b/,5024,689
45,카페하이웨스트,이쁜 카페 🧡🧡🤎🤎,2020-11-16,97,하이웨스트익선,[],https://www.instagram.com/hyelimev_v/,8199,504
46,카페하이웨스트,하 오늘은 빅토리아케이크가 너무먹고싶다..😳🍰🍰🍰🍰..#카페하이웨스트 #심플_종로,2020-11-16,193,,"['#카페하이웨스트', '#심플_종로']",https://www.instagram.com/simplace_/,3255,977
47,카페하이웨스트,🍰귀염뽀짝 카페익선동 한옥거리 구경하다가 넘나 귀여운 케이크들에 이끌려급 들어간카페 ☕귀염뽀짝한 케이크들이 많이 있어서눈이 즐거웠고👀레몬케쿠 쌍콤하고 놈나 마싯수 🍋💛스콘도 존맛탬아메 순샥해벌임🤭,2020-11-15,286,하이웨스트익선,[],https://www.instagram.com/j.q.bbo/,1231,980
48,카페하이웨스트,긔엽고 맛있고🎅🏻🍰#익선동 #카페하이웨스트,2020-11-15,31,하이웨스트익선,"['#익선동', '#카페하이웨스트']",https://www.instagram.com/_jjaeny__/,154,99
49,카페하이웨스트,캐롤이 생각나는🎄..#카페하이웨스트 #익선동카페 #익선동 #종로3가 #종로3가카페 #카페투어 #감성카페 #겨울나기 #선팔하면맞팔 #팔로우 #인친,2020-11-15,28,,"['#카페하이웨스트', '#익선동카페', '#익선동', '#종로3가', '#종로3가카페', '#카페투어', '#감성카페', '#겨울나기', '#선팔하면맞팔', '#팔로우', '#인친']",https://www.instagram.com/oran_diary/,114,98
50,카페하이웨스트,#익선동평일 낮간만에 카메라들고 서울나들이순식간에 지나간 꿀 같던 시간#살라댕방콕 #카페하이웨스트,2020-11-15,24,,"['#익선동평일', '#살라댕방콕', '#카페하이웨스트']",https://www.instagram.com/rengong23/,285,314
51,카페하이웨스트,벌써 크리스마스 분위기 뿜뿜🎅🏼,2020-11-14,80,,[],https://www.instagram.com/__yeathree__/,1460,287
52,카페하이웨스트,"#익선동카페 #카페하이웨스트⠀유럽 빵집같은 인테리어와 분위기, 유리 천장에서 들어오는 반짝반짝 햇살까지 ✨ 의외로 빵보다 커피가 맛있고, 아메리카노가 적당히 산미있고 고소해 누구나 좋아할 맛⠀⠀📍 서울 종로구 돈화문로11다길 18📍 매일 11:00 - 22:00⠀",2020-11-14,32,,"['#익선동카페', '#카페하이웨스트⠀유럽']",https://www.instagram.com/indy.soi/,126,78
